index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det
35742;47566;2787601;-23.678420000000003;-46.64464;AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA;AV SANTO AFONSO;419;AMERICANOPOLIS;(11)56267158;4426000.0;SP;São Paulo;2016;5
35825;47568;2788543;-23.6531;-46.78116;AMA UBS INTEGRADA SAO VICENTE DE PAULA;RUA VICENTE DA COSTA;289;IPIRANGA;(11) 22734592;4266050.0;SP;São Paulo;2016;5
35932;47919;6144055;-23.61147;-46.49405;AMA SAPOPEMBA;RUA JOAO LOPES DE LIMA;1151;JARDIM SAPOPEMBA;11 2018-5674;3976020.0;SP;São Paulo;2016;5
35957;47916;6135722;-23.51756;-46.50626;AMA HOSPITALAR TIDE SETUBAL;RUA DOUTOR JOSE GUILHERME EIRAS;123;SAO MIGUEL PAULISTA;(112058-4364;8010130.0;SP;São Paulo;2016;5
35992;47880;5882281;-23.45651;-46.68581;AMA UBS INTEGRADA JARDIM ELISA MARIA;RUA ROMULO NALDI;57;BRASILANDIA;3981-0967 / 3981-095;2873250.0;SP;São Paulo;2016;5
36006;47921;6148344;-23.46442;-46.654540000000004;AMA JARDIM PERI;AVENIDA PERI RONCHETTI;914;JD PERI;11- 22311822;2633000.0;SP;São Paulo;2016;5
36017;47920;6146317;-23.434479999999997;-46.78895;AMA PARQUE ANHANGUERA;RUA PIERRE RENOIR;100;JD BRITANIA;(11) 39117734;5269030.0;SP;São Paulo;2016;5
36039;47918;6143180;-23.50004;-46.51675;AMA ENG GOULART JOSE PIRES;RUA AUGUSTO CORREA LEITE;538;ENGENHEIRO GOULART;(11)20381626;3726100.0;SP;São Paulo;2016;5
36054;47674;3446905;-23.526329999999998;-46.70064;COORD REGIONAL DE SAUDE OESTE;RUA DR RENATO PAES DE BARROS;77;ITAIM BIBI;(11)30731178;4530000.0;SP;São Paulo;2016;5
36055;47964;6365825;-23.65469;-46.78452;UAD CAPELA DO SOCORRO;GUARUVA;429;CIDADE DUTRA;56665051;4807030.0;SP;São Paulo;2016;5
36068;47850;5662699;-23.59844;-46.63963;AMA SANTA CRUZ;RUA PEDRO DE TOLEDO;309;V CLEMENTINO;(11) 5082-1072;4039030.0;SP;São Paulo;2016;5
36087;47923;6148395;-23.44939;-46.59574;AMA J JOAMAR;RUA ADAUTO BEZERRA DELGADO;240;PQ CASA DE PEDRA;(11)2991-5100;2320110.0;SP;São Paulo;2016;5
36175;47925;6156959;-23.585620000000002;-46.73216;AMA JD PERI PERI;RUA JOAO GUERRA;0147;JD PERI PERI;11 3744-3021;5535100.0;SP;São Paulo;2016;5
36196;47915;6133622;-23.61358;-46.59414;AMA SACOMA;ESTRADA DAS LAGRIMAS;1403;SACOMA;25912016;4232000.0;SP;São Paulo;2016;5
36206;47647;3273997;-23.63748;-46.779579999999996;CECCO CAMPO LIMPO;AV CARLOS LACERDA;678;CAMPO LIMPO;;5789000.0;SP;São Paulo;2016;5
36210;47678;3474674;-23.68572;-46.770109999999995;UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;ESTRADA GUAVIRITUBA;49;VL SANTA LUCIA;(11) 58315665;4937000.0;SP;São Paulo;2016;5
36229;47914;6133525;-23.6589;-46.74306;AMA J SAO LUIZ;RUA LUIZ ANTONIO VERNEY;98;JARDIM SAO LUIZ;(11) 55111153;5846380.0;SP;São Paulo;2016;5
36236;47980;6415431;-23.65559;-46.74123;SAD SERVICO DE ATENCAO DOMICILIAR M BOI MIRIM;RUA DEOCLECIANO DE OLIVEIRA FILHO;641;PQ STO ANTONIO;(11)58110390;5834000.0;SP;São Paulo;2016;5
36245;47913;6133460;-23.69642;-46.66037;UPA PEDREIRA DR CESAR ANTUNES DA ROCHA;AVENIDA NOSSA SENHORA DO SABARA;4901;VILA EMIR;11) 5611-8656;4447021.0;SP;São Paulo;2016;5
36255;47657;3317102;-23.644070000000003;-46.74386;SUPERVISAO TECNICA DE SAUDE CAMPO LIMPO;RUA NOSSA SRA BOM CONSELHO;59;CHACARA NOSSA SENHOR;(11)58149801;5763470.0;SP;São Paulo;2016;5
36258;47803;5268125;-23.52665;-46.55124;AMA MAURICE PATE;RUA FREI GERMANO;50;PENHA;(11)20975802;3604050.0;SP;São Paulo;2016;5
36260;47673;3446867;-23.65128;-46.707840000000004;COORD REGIONAL DE SAUDE SUL;RUA FERNANDES MOREIRA;1470;GRANJA JULIETA;11-20751200;4716003.0;SP;São Paulo;2016;5
36269;47922;6148352;-23.61235;-46.69028;AMA LAUZANE PAULISTA;RUA VALORBE;80;LAUZANE PAULISTA;2232-4694;2442140.0;SP;São Paulo;2016;5
